latitude;longitude;altitude;geometry;coordinates;line;sectionId;color;origin;destination
;;;LineString;-1.360836394464588,-5.981574651292176,-1.360834867502211,-5.981573113739874,-1.360833268629263,-5.981571863023779,-1.360831276712425,-5.981570835386924,-1.360829143934345,-5.981570139306623,-1.360827126288714,-5.981569880225734,-1.36075118541396,-5.981569;11;282;#704b1c;Arts et Métiers                           ;République                                
;;;LineString;-1.360753432505135,-5.98161170894997,-1.360753615145259,-5.981545136652016                                                                                                                                                                                     ;5;113;#ff7e2e;Oberkampf                                 ;République                                
;;;LineString;-1.360881710684619,-5.981533596348815,-1.360772429309504,-5.981533287338686,-1.360770670421128,-5.981533640039832,-1.36076922616528,-5.981534612680329,-1.360768247543453,-5.981536054565152,-1.360767886314405,-5.981537816143605,-1.360767865697284,-5.981545;8;199;#e19bdf;Strasbourg - Saint-Denis                  ;République                                
;;;LineString;-1.360881730686166,-5.981526458677692,-1.360772448158317,-5.981526150424936,-1.360771258190837,-5.981526208229162,-1.360770101361028,-5.981526381863128,-1.360768983005165,-5.981526666774093,-1.360767911506831,-5.981527056514708,-1.360766890681306,-5.98152;9;222;#b6bd00;Strasbourg - Saint-Denis                  ;République                                
;;;LineString;-1.360821534826348,-5.981549611020656,-1.360820470085231,-5.981548538895558,-1.360818872356572,-5.981547286659832,-1.360816880434658,-5.98154626054571,-1.360814750698826,-5.981545564093704,-1.360812732675458,-5.981545303869874,-1.360767866834829,-5.981545;3;66;#837902;Temple                                    ;République                                
;;;LineString;-1.361452112379846,-5.981169320726857,-1.361452460300324,-5.981054830380247,-1.36145223823412,-5.981051446431282,-1.361451190633086,-5.981049958994888,-1.361449185920681,-5.981048611888014,-1.361447129843925,-5.981048222856407,-1.361444609466842,-5.981048;14;349;#62259d;Porte de Clichy                           ;Saint-Ouen                                
;;;LineString;-1.361024433572979,-5.981577988848766,-1.360952054936104,-5.981577783710703                                                                                                                                                                                    ;3;49;#837902;Bourse                                    ;Sentier                                   
;;;LineString;-1.361083537137542,-5.981172943858097,-1.36108347021146,-5.981191464984954                                                                                                                                                                                     ;4;97;#cf009e;Porte de Clignancourt                     ;Simplon                                   
;;;LineString;-1.361096727416471,-5.981886881296345,-1.36109684792001,-5.981842697538123                                                                                                                                                                                     ;12;292;#7852  ;Rue du Bac                                ;Solférino                                 
;;;LineString;-1.360753432505135,-5.98161170894997,-1.360751512528658,-5.981612148739828,-1.360709121117301,-5.981654357430286                                                                                                                                               ;9;254;#b6bd00;Oberkampf                                 ;Saint-Ambroise                            
;;;LineString;-1.36130825671227,-5.981548935124678,-1.361290269211775,-5.981530826480026,-1.36129018465165,-5.981530742477796,-1.361290098943298,-5.981530661137069,-1.361290009432468,-5.981530579785163,-1.361289919924846,-5.981530497291181,-1.361289826608334,-5.9815304;9;242;#b6bd00;Miromesnil                                ;Saint-Augustin                            
;;;LineString;-1.361044378805572,-5.980950506147495,-1.360988683202391,-5.980894438034165,-1.360987727660075,-5.980893475859139,-1.36092199594234,-5.980893290217645                                                                                                         ;13;326;#6ec4e8;Carrefour Pleyel                          ;Saint-Denis - Porte de Paris              
