Geo Point;Geo Shape;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.9822870769,-1.36136031911;"{""type"": ""Point"", ""coordinates"": [-1.361360319108792, -5.982287076897472]}";45357;979;BALARD;Balard;TRAM;;A01193;TRAM 3a;TRAM 3a-108019;3A;289.70294615;235.95486228
-5.98136573522,-1.3612688688;"{""type"": ""Point"", ""coordinates"": [-1.361268868799469, -5.981365735218596]}";43814;467;LIÈGE;Liège;METRO;;A01546;METRO 13;METRO 13-114063;13;312.51412774;382.63284852
-5.98151056751,-1.36126088712;"{""type"": ""Point"", ""coordinates"": [-1.361260887119301, -5.98151056750772]}";58566;770;SAINT-LAZARE;St-Lazare;METRO;;A01546;METRO 13;METRO 13-329;13;312.51159668;359.37762451
-5.98199082341,-1.36118251731;"{""type"": ""Point"", ""coordinates"": [-1.361182517313291, -5.981990823414032]}";42874;247;DUROC;Duroc;METRO;;A01546;METRO 13;METRO 13-114049;13;320.82141516;281.80379859
-5.98069850848,-1.36248492005;"{""type"": ""Point"", ""coordinates"": [-1.362484920053317, -5.980698508479037]}";47603;346;HERBLAY;Herblay;TRAIN;;A01852;TRAIN J;TRAIN J-227;J;123.52600002;500.21837994
-5.98227271724,-1.36110189311;"{""type"": ""Point"", ""coordinates"": [-1.361101893109159, -5.982272717236451]}";44526;700;PORTE DE VANVES;Pte de Vanves;METRO;;A01546;METRO 13;METRO 13-114039;13;331.24808547;235.96364552
-5.98157081565,-1.36130890603;"{""type"": ""Point"", ""coordinates"": [-1.361308906032894, -5.981570815654948]}";43511;548;MIROMESNIL;Miromesnil;METRO;;A01546;METRO 13;METRO 13-114059;13;304.28232859;350.15864827
-5.9822189338,-1.36110485813;"{""type"": ""Point"", ""coordinates"": [-1.36110485812866, -5.982218933802776]}";45322;656;PLAISANCE;Plaisance;METRO;;A01546;METRO 13;METRO 13-114041;13;331.24893942;244.59954703
-5.98119334202,-1.36147922364;"{""type"": ""Point"", ""coordinates"": [-1.361479223640061, -5.981193342015928]}";44514;689;PORTE DE CLICHY;Pte de Clichy;METRO;;A01546;METRO 13;METRO 13-442;13;280.32672119;412.09350586
-5.98066352015,-1.36076885093;"{""type"": ""Point"", ""coordinates"": [-1.360768850925773, -5.980663520151179]}";44860;763;SAINT-DENIS-UNIVERSITÉ;St-Denis-Université;METRO;METRO 13;A01546;METRO 13;METRO 13-114082;13;398.86578369;490.61199951
