Geo Point;origin_x;origin_y;arrival_x;arrival_y;Geo Shape;IDREFLIGA;IDREFLIGC;LIGNE;MODE_;FOURCHE
-5.98158991224,-1.36143334209;-1,36143;-5,98161;-1,36143;-5,98157;"{""type"": ""LineString"", ""coordinates"": [[-1.361432444056074, -5.981606546009535, 0.0], [-1.361434240127432, -5.981573278470915, 0.0]]}";A01535;C01372;2;METRO;0
-5.98151131779,-1.36131749905;-1,36136;-5,98150;-1,36127;-5,98151;"{""type"": ""LineString"", ""coordinates"": [[-1.361362706892118, -5.981497799280883, 0.0], [-1.361346763216699, -5.98151209282606, 0.0], [-1.361345093302745, -5.981513250988013, 0.0], [-1.36134410002416, -5.981513741998763, 0.0], [-1.361343043786418, -5.981514159368845, 0.0], [-1.361341959727099, -5.981514494367395, 0.0], [-1.361340878320987, -5.981514733048902, 0.0], [-1.361338852499063, -5.9815148744613, 0.0], [-1.361267669921292, -5.981510963170122, 0.0]]}";A01536;C01373;3;METRO;0
-5.98157707066,-1.36099460856;-1,36103;-5,98158;-1,36096;-5,98158;"{""type"": ""LineString"", ""coordinates"": [[-1.361030742915189, -5.981579067093056, 0.0], [-1.360958474206817, -5.981575074230955, 0.0]]}";A01536;C01373;3;METRO;0
-5.9814781298,-1.36138464866;-1,36141;-5,98146;-1,36136;-5,98150;"{""type"": ""LineString"", ""coordinates"": [[-1.361406590435385, -5.981458460320289, 0.0], [-1.361362706892118, -5.981497799280883, 0.0]]}";A01536;C01373;3;METRO;0
-5.98138768679,-1.36151593432;-1,36157;-5,98139;-1,36147;-5,98140;"{""type"": ""LineString"", ""coordinates"": [[-1.361567826657782, -5.981387827739454, 0.0], [-1.361494695489623, -5.981383788164382, 0.0], [-1.36149266998076, -5.981383930734501, 0.0], [-1.361491588635385, -5.981384168274023, 0.0], [-1.361490503138947, -5.981384501666622, 0.0], [-1.361489448016719, -5.981384919478687, 0.0], [-1.361488456254302, -5.981385410572615, 0.0], [-1.361486785196589, -5.981386568670612, 0.0], [-1.36146904373094, -5.981402473123913, 0.0]]}";A01536;C01373;3;METRO;0
-5.98144122426,-1.36142581658;-1,36145;-5,98142;-1,36141;-5,98146;"{""type"": ""LineString"", ""coordinates"": [[-1.36144504272616, -5.981423988206837, 0.0], [-1.361406590435385, -5.981458460320289, 0.0]]}";A01536;C01373;3;METRO;0
-5.98141323067,-1.36145704323;-1,36147;-5,98140;-1,36145;-5,98142;"{""type"": ""LineString"", ""coordinates"": [[-1.36146904373094, -5.981402473123913, 0.0], [-1.36144504272616, -5.981423988206837, 0.0]]}";A01536;C01373;3;METRO;0
-5.98124981443,-1.36177870507;-1,36181;-5,98123;-1,36175;-5,98127;"{""type"": ""LineString"", ""coordinates"": [[-1.361805958456461, -5.981225383429535, 0.0], [-1.361751451679073, -5.981274245430042, 0.0]]}";A01536;C01373;3;METRO;0
-5.9815189814,-1.36124165205;-1,36127;-5,98151;-1,36122;-5,98154;"{""type"": ""LineString"", ""coordinates"": [[-1.361267669921292, -5.981510963170122, 0.0], [-1.361249427132263, -5.981509962131399, 0.0], [-1.361245788872099, -5.981511648459787, 0.0], [-1.361227248083616, -5.981528270868371, 0.0], [-1.361227116604374, -5.981528389794324, 0.0], [-1.3612269875729, -5.981528512668604, 0.0], [-1.361226857276476, -5.981528637760531, 0.0], [-1.361226728901214, -5.981528769440558, 0.0], [-1.361226600462979, -5.981528902260955, 0.0], [-1.361226536866756, -5.981528971183956, 0.0], [-1.361226473333507, -5.981529038966577, 0.0], [-1.361226410813317, -5.981529109092985, 0.0], [-1.361226346774453, -5.981529179135314, 0.0], [-1.361226284170298, -5.981529250782193, 0.0], [-1.361226221587134, -5.981529322048945, 0.0], [-1.361226158836042, -5.981529396356652, 0.0], [-1.361226096189906, -5.981529468763773, 0.0], [-1.361226033438815, -5.981529543071454, 0.0], [-1.361225972164415, -5.98152961822347, 0.0], [-1.361225910426382, -5.981529694874927, 0.0], [-1.361225848772313, -5.981529770005951, 0.0], [-1.361225788552954, -5.98152984674145, 0.0], [-1.361225726688976, -5.98152992567362, 0.0], [-1.361225665964002, -5.981530004668827, 0.0], [-1.361225605681669, -5.981530082544722, 0.0], [-1.361225544872732, -5.981530163060413, 0.0], [-1.361225485582469, -5.981530243660159, 0.0], [-1.361225426250221, -5.981530325020173, 0.0], [-1.361225366896985, -5.981530406760262, 0.0], [-1.361225307480775, -5.981530489640721, 0.0], [-1.361225249203569, -5.981530572584244, 0.0], [-1.361225190926364, -5.981530655527767, 0.0], [-1.361225131426191, -5.981530739928696, 0.0], [-1.361225074141053, -5.981530825596071, 0.0], [-1.361225017319549, -5.981530909764018, 0.0], [-1.361224959971438, -5.981530996571788, 0.0], [-1.361224902623328, -5.981531083379506, 0.0], [-1.361224846793891, -5.981531170271319, 0.0], [-1.361224790964455, -5.981531257163144, 0.0], [-1.361224734692377, -5.98153134517427, 0.0], [-1.361224678736995, -5.981531434346808, 0.0], [-1.361224623962599, -5.981531522822129, 0.0], [-1.361224569209195, -5.981531610917323, 0.0], [-1.361224514329845, -5.981531701293255, 0.0], [-1.361224460568508, -5.981531792112341, 0.0], [-1.361224405731139, -5.981531881728031, 0.0], [-1.361224353045835, -5.981531973750536, 0.0], [-1.361224299284499, -5.981532064569596, 0.0], [-1.361224248054894, -5.981532157816512, 0.0], [-1.361224195749259, -5.981532249860022, 0.0], [-1.36122414420296, -5.981532341945566, 0.0], [-1.361224091834351, -5.981532435129418, 0.0], [-1.36122404172276, -5.981532528819502, 0.0], [-1.361223991632162, -5.981532622129457, 0.0], [-1.361223940339585, -5.981532716516718, 0.0], [-1.361223891367, -5.981532810269851, 0.0], [-1.361223842268469, -5.981532906303685, 0.0], [-1.361223793696544, -5.981532999697708, 0.0], [-1.361223744598014, -5.981533095731529, 0.0], [-1.36122369710212, -5.981533190328935, 0.0], [-1.361223649058631, -5.981533287946303, 0.0], [-1.361223602701742, -5.981533382606773, 0.0], [-1.361223556260889, -5.981533478787727, 0.0], [-1.361223509757064, -5.981533576109036, 0.0], [-1.361223464455218, -5.981533672353015, 0.0], [-1.361223419090397, -5.981533769737363, 0.0], [-1.36122337524425, -5.981533867205779, 0.0], [-1.361223331081407, -5.981533963512809, 0.0], [-1.361223288374265, -5.98153406104429, 0.0], [-1.361223244064487, -5.981534160012147, 0.0], [-1.361223202496349, -5.981534257606652, 0.0], [-1.361223158270535, -5.981534355054026, 0.0], [-1.361223118221071, -5.981534452732614, 0.0], [-1.361223077707975, -5.981534551910616, 0.0], [-1.36122303613984, -5.981534649505135, 0.0], [-1.361222996786739, -5.981534748366087, 0.0], [-1.36122295787628, -5.9815348461077, 0.0], [-1.36122291850219, -5.98153494534878, 0.0], [-1.361222879591733, -5.981535043090393, 0.0], [-1.361222841757305, -5.9815351420354, 0.0], [-1.361222806179897, -5.981535241486639, 0.0], [-1.361222768408444, -5.981535339291328, 0.0], [-1.361222732915001, -5.98153543722207, 0.0], [-1.361222697738253, -5.981535536314185, 0.0], [-1.36122266329985, -5.981535635828487, 0.0], [-1.361222628186075, -5.981535733780258, 0.0], [-1.361222595350309, -5.981535831858119, 0.0], [-1.361222560911908, -5.981535931372409, 0.0], [-1.361222529215147, -5.981536029513322, 0.0], [-1.361222496316408, -5.981536128731552, 0.0], [-1.361222466201295, -5.981536225816177, 0.0], [-1.361222434441562, -5.981536325097433, 0.0], [-1.361222405381489, -5.981536423765593, 0.0], [-1.361222377565376, -5.981536520596193, 0.0], [-1.361222348125634, -5.981536619243348, 0.0], [-1.361222319170516, -5.981536716010872, 0.0], [-1.361222292768121, -5.981536814826113, 0.0], [-1.361222266091014, -5.981536911719791, 0.0], [-1.361222239392915, -5.981537008993557, 0.0], [-1.361222215352493, -5.981537106414443, 0.0], [-1.361222188654394, -5.981537203688184, 0.0], [-1.361222164676947, -5.981537299968714, 0.0], [-1.361222141796521, -5.981537397072537, 0.0], [-1.361222119021051, -5.981537492275737, 0.0], [-1.361222097638309, -5.98153758984373, 0.0], [-1.361222076022834, -5.981537684729879, 0.0], [-1.361222055926033, -5.981537779700097, 0.0], [-1.361222036884272, -5.981537876253824, 0.0], [-1.361222016470777, -5.981537970062631, 0.0], [-1.361221999031654, -5.981538065179968, 0.0], [-1.361221981275835, -5.981538159135907, 0.0], [-1.361221964659022, -5.98153825315491, 0.0], [-1.361221947345846, -5.981538345991522, 0.0], [-1.361221934205359, -5.981538425333015, 0.0]]}";A01536;C01373;3;METRO;0
-5.98156215633,-1.36049653014;-1,36052;-5,98156;-1,36047;-5,98156;"{""type"": ""LineString"", ""coordinates"": [[-1.360521656191302, -5.981563543860238, 0.0], [-1.360471404094032, -5.981560768802145, 0.0]]}";A01536;C01373;3;METRO;0
-5.98156523157,-1.3605522058;-1,36058;-5,98157;-1,36052;-5,98156;"{""type"": ""LineString"", ""coordinates"": [[-1.360582755408075, -5.981566919285966, 0.0], [-1.360521656191302, -5.981563543860238, 0.0]]}";A01536;C01373;3;METRO;0
-5.98154001635,-1.36073190564;-1,36075;-5,98153;-1,36071;-5,98155;"{""type"": ""LineString"", ""coordinates"": [[-1.360751931668285, -5.98153152981697, 0.0], [-1.360745009490805, -5.981531147836742, 0.0], [-1.360742979810717, -5.981531290194654, 0.0], [-1.360740814497031, -5.981531861230196, 0.0], [-1.360738764967141, -5.981532770006599, 0.0], [-1.360737093923526, -5.981533928118032, 0.0], [-1.360714229695516, -5.981554426882658, 0.0]]}";A01536;C01373;3;METRO;0
-5.98155062091,-1.36083900965;-1,36085;-5,98156;-1,36083;-5,98154;"{""type"": ""LineString"", ""coordinates"": [[-1.360848411883071, -5.981561132564486, 0.0], [-1.360829607415009, -5.981540109255848, 0.0]]}";A01536;C01373;3;METRO;0
-5.98157313098,-1.3609232966;-1,36096;-5,98158;-1,36089;-5,98157;"{""type"": ""LineString"", ""coordinates"": [[-1.360958474206817, -5.981575074230955, 0.0], [-1.360888118997811, -5.981571187726997, 0.0]]}";A01536;C01373;3;METRO;0
-5.98158408244,-1.36112151388;-1,36114;-5,98159;-1,36110;-5,98158;"{""type"": ""LineString"", ""coordinates"": [[-1.361140028660792, -5.981585105941188, 0.0], [-1.361102999108204, -5.981583058947569, 0.0]]}";A01536;C01373;3;METRO;0
