Geo Point;station_x;station_y;station_x_untruncated;station_y_untruncated;Geo Shape3;Geo Shape2;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
;-1,36089;-5,98143;-1,360888241;-5,981428016;"{""type"": ""Point"", ""coordinates"": [-1.360888241305083, -5.981428015693868]}";"{""type"": ""Point"", ""coordinates"": [-1.360888241305083, -5.981428015693868]}";43138;314;GARE DE L'EST;Gare de l'Est;METRO;;A01538;METRO 5;METRO 5-327;5;372.96577347;369.29049991
;-1,36088;-5,98143;-1,36088126;-5,98142763;"{""type"": ""Point"", ""coordinates"": [-1.360881259511184, -5.981427630401843]}";"{""type"": ""Point"", ""coordinates"": [-1.360881259511184, -5.981427630401843]}";43138;315;GARE DE L'EST;Gare de l'Est;METRO;;A01540;METRO 7;METRO 7-327;7;374.0882866;369.29037975
;-1,3611;-5,98132;-1,361103361;-5,981315299;"{""type"": ""Point"", ""coordinates"": [-1.361103361147324, -5.981315298652511]}";"{""type"": ""Point"", ""coordinates"": [-1.361103361147324, -5.981315298652511]}";42280;49;BARBÈS-ROCHECHOUART;Barbès-Rochechouart;METRO;;A01535;METRO 2;METRO 2-104037;2;339.48632813;389.24029541
;-1,36118;-5,98126;-1,361184226;-5,981255778;"{""type"": ""Point"", ""coordinates"": [-1.361184225687988, -5.981255778095423]}";"{""type"": ""Point"", ""coordinates"": [-1.361184225687988, -5.981255778095423]}";43600;419;LAMARCK-CAULAINCOURT;Lamarck-Caulaincourt;METRO;;A01545;METRO 12;METRO 12-112077;12;327.05306254;399.48469046
;-1,36118;-5,98129;-1,361182559;-5,981286002;"{""type"": ""Point"", ""coordinates"": [-1.361182559337222, -5.981286001951961]}";"{""type"": ""Point"", ""coordinates"": [-1.361182559337222, -5.981286001951961]}";42155;2;ABBESSES;Abbesses;METRO;;A01545;METRO 12;METRO 12-112075;12;327.05254699;394.63184792
;-1,36118;-5,98132;-1,361180709;-5,981319573;"{""type"": ""Point"", ""coordinates"": [-1.36118070928098, -5.981319573191481]}";"{""type"": ""Point"", ""coordinates"": [-1.36118070928098, -5.981319573191481]}";44345;647;PIGALLE;Pigalle;METRO;;A01535;METRO 2;METRO 2-112073;2;327.0519661;389.2413481
;-1,36125;-5,98151;-1,361247701;-5,981509839;"{""type"": ""Point"", ""coordinates"": [-1.361247700793806, -5.981509838738714]}";"{""type"": ""Point"", ""coordinates"": [-1.361247700793806, -5.981509838738714]}";58566;769;GARE SAINT-LAZARE;Gare Saint-Lazare;METRO;;A01545;METRO 12;METRO 12-329;12;314.63140869;359.37744141
;-1,36101;-5,98143;-1,361014669;-5,981435;"{""type"": ""Point"", ""coordinates"": [-1.36101466874672, -5.981434999717626]}";"{""type"": ""Point"", ""coordinates"": [-1.36101466874672, -5.981434999717626]}";45165;659;POISSONIÈRE;Poissonière;METRO;;A01540;METRO 7;METRO 7-107047;7;352.64147949;369.29272461
;-1,36106;-5,98144;-1,361055197;-5,981438086;"{""type"": ""Point"", ""coordinates"": [-1.361055197161679, -5.981438086017358]}";"{""type"": ""Point"", ""coordinates"": [-1.361055197161679, -5.981438086017358]}";42414;122;CADET;Cadet;METRO;;A01540;METRO 7;METRO 7-107049;7;346.11871338;369.15771484
;-1,36131;-5,98157;-1,361308906;-5,981570816;"{""type"": ""Point"", ""coordinates"": [-1.361308906032894, -5.981570815654948]}";"{""type"": ""Point"", ""coordinates"": [-1.361308906032894, -5.981570815654948]}";43511;548;MIROMESNIL;Miromesnil;METRO;;A01546;METRO 13;METRO 13-114059;13;304.28232859;350.15864827
;-1,36073;-5,98127;-1,360726774;-5,981271796;"{""type"": ""Point"", ""coordinates"": [-1.360726774308534, -5.981271796347455]}";"{""type"": ""Point"", ""coordinates"": [-1.360726774308534, -5.981271796347455]}";44643;739;RIQUET;Riquet;METRO;;A01540;METRO 7;METRO 7-107037;7;400.22631836;392.86730957
;-1,36049;-5,98126;-1,360491284;-5,981262869;"{""type"": ""Point"", ""coordinates"": [-1.360491283689098, -5.981262868620614]}";"{""type"": ""Point"", ""coordinates"": [-1.360491283689098, -5.981262868620614]}";44521;694;PORTE DE PANTIN;Pte de Pantin;METRO;;A01538;METRO 5;METRO 5-105047;5;438.04721417;392.2101878
;-1,36056;-5,98127;-1,360563401;-5,981266892;"{""type"": ""Point"", ""coordinates"": [-1.360563401313516, -5.981266892347148]}";"{""type"": ""Point"", ""coordinates"": [-1.360563401313516, -5.981266892347148]}";44227;614;OURCQ;Ourcq;METRO;;A01538;METRO 5;METRO 5-105049;5;426.45330811;392.20489502
;-1,36063;-5,98127;-1,360632497;-5,981270709;"{""type"": ""Point"", ""coordinates"": [-1.360632496685571, -5.98127070883594]}";"{""type"": ""Point"", ""coordinates"": [-1.360632496685571, -5.98127070883594]}";45581;426;LAUMIÈRE;Laumière;METRO;;A01538;METRO 5;METRO 5-105051;5;415.34570313;392.20611572
;-1,36065;-5,98132;-1,360648918;-5,981318483;"{""type"": ""Point"", ""coordinates"": [-1.360648918211483, -5.981318483296241]}";"{""type"": ""Point"", ""coordinates"": [-1.360648918211483, -5.981318483296241]}";45609;120;BUTTES CHAUMONT;Buttes Chaumont;METRO;;A01550;METRO 7bis;METRO 7bis-117035;7b;412.29107666;384.70391846
;-1,36055;-5,98131;-1,360553448;-5,981313216;"{""type"": ""Point"", ""coordinates"": [-1.360553447518023, -5.981313215819448]}";"{""type"": ""Point"", ""coordinates"": [-1.360553447518023, -5.981313215819448]}";42822;232;DANUBE;Danube;METRO;;A01550;METRO 7bis;METRO 7bis-117031;7b;427.63867188;384.70129395
;-1,36047;-5,98156;-1,360469594;-5,981560675;"{""type"": ""Point"", ""coordinates"": [-1.360469593858239, -5.981560675098576]}";"{""type"": ""Point"", ""coordinates"": [-1.360469593858239, -5.981560675098576]}";44510;684;PORTE DE BAGNOLET;Pte de Bagnolet;METRO;;A01536;METRO 3;METRO 3-103035;3;438.8881304;344.3453373
;-1,36085;-5,98156;-1,360848412;-5,981561134;"{""type"": ""Point"", ""coordinates"": [-1.360848411820103, -5.981561133704854]}";"{""type"": ""Point"", ""coordinates"": [-1.360848411820103, -5.981561133704854]}";42230;28;ARTS ET MÉTIERS;Arts et Métiers;METRO;;A01536;METRO 3;METRO 3-103049;3;378.17107208;347.62825133
